siteID,groupsize,dist
2515,1,0.3
2515,1,0.5
2515,1,0.3
2517,1,1.4
2515,1,3.5
2517,1,1.2
2506,1,2.8
2573,1,1.2
2573,1,0.4
2573,1,2.8
2573,1,1.3
2573,1,2.3
2589,1,1.2
2573,1,0.4
2573,1,1.3
2586,1,1
2586,1,1.4
2589,1,0.9
2586,1,0.5
2586,1,1.1
2586,1,2.4
2586,1,1.5
2586,1,0.5
2571,1,0.5
2571,1,1.3
2571,1,2.4
2571,1,0.6
2577,1,1.4
2577,1,1.6
2571,1,2.3
2577,1,0.6
2577,1,1.2
2577,1,2.1
2577,1,1.7
2577,1,1.2
2585,1,2.5
2573,1,3.4
2585,1,1.3
2585,1,2.3
2584,1,0.1
2584,1,2.4
2584,1,3.5
2584,1,3.6
2575,1,0.5
2575,1,0.7
2575,1,2.4
2575,1,0.5
2571,1,3.5
2571,1,2.5
2575,1,0.2
2571,1,1.6
2571,1,3.8
2571,1,3.5
2571,1,2.8
2571,1,3.4
2555,1,0.3
2555,1,1.5
2555,1,2.3
2555,1,0.1
2555,1,0.9
2555,1,3.5
2555,1,1.3
2555,1,1.6
2550,1,5.5
2550,1,4
2555,1,4.8
2550,1,2.3
2565,1,0.1
2584,1,1.5
2550,1,3.8
2605,1,3.5
2605,1,3
2605,1,4.6
2605,1,3.5
2597,1,6.1
2597,1,6.2
2597,1,3.9
2597,1,2.8
2597,1,2.4
2597,1,7.8
2597,1,7
2597,1,1.8
2597,1,2.4
2597,1,6.5
2605,1,3.2
2605,1,2.7
2605,1,2.8
2605,1,5.7
2605,1,6.4
2605,1,4.8
2605,1,6
2605,1,6
2605,1,6
2605,1,6.4
2605,1,6.5
2605,1,4.8
2605,1,4.7
2605,1,5.5
2605,1,4.8
181,1,1.2
181,1,0.7
181,1,0.2
181,1,1.5
184,1,0.5
2612,1,3.5
181,1,0.3
181,1,0.4
2612,1,3.6
2612,1,2.8
2612,1,3.5
2612,1,3.6
2612,1,1.5
2612,1,3.6
2612,1,1.8
2612,1,0.6
2586,1,0.9
2586,1,0.2
2586,1,1.1
2581,1,3
2581,1,3
2581,1,2.4
2581,1,1.5
2581,1,1.7
2581,1,0.3
2581,1,3
2581,1,2.6
2593,1,0
2593,1,1
2593,1,0
2593,1,0.2
2383,1,1.2
2383,1,0.4
2382,1,6.5
2387,1,0
2384,1,0.7
2391,1,0.1
2390,1,0.7
2384,1,0.4
2391,1,1.7
2391,1,0.6
2391,1,1
2391,1,0.3
2391,1,1.4
2391,1,0.1
2391,1,0
2365,1,5.4
2359,1,1.8
2372,1,1.6
2359,1,0.5
2359,1,0.9
2381,1,1.5
2382,1,5
2372,1,1.2
2372,1,2
2382,1,3.5
2382,1,7
2382,1,10
2382,1,3.6
2365,1,5.5
2415,1,0.1
2410,1,1.5
2415,1,0.8
2415,1,1.6
2415,1,0
2415,1,2.1
2406,1,2.3
2415,1,3.5
2407,1,0.2
2408,1,0.4
2400,1,3.6
2397,1,1.1
2408,1,1.5
2408,1,2.6
2408,1,0.4
2408,1,0.4
2408,1,0.7
2408,1,1.9
2408,1,3.3
2408,1,0.5
2413,1,2.9
2410,1,1.4
2408,1,0.7
2405,1,2.2
2393,1,1.2
2395,1,2.5
2391,1,2.7
2392,1,1.9
2392,1,2.2
2395,1,1.4
2396,1,0.1
2396,1,0.8
2392,1,1.5
2396,1,0
2402,1,0.3
2402,1,1.4
2402,1,0.2
2391,1,0.6
2391,1,1.3
2391,1,0.1
2391,1,1.4
2391,1,1.1
2391,1,1.1
2391,1,1.1
2391,1,2.3
2391,1,1.7
2391,1,1.5
2391,1,2.6
2391,1,2.2
2391,1,2.3
2447,1,3.1
2447,1,1.9
2447,1,3.4
2447,1,2.9
2447,1,5.2
2447,1,4.6
2447,1,6
2445,1,1.9
2445,1,4
2445,1,3.2
2493,1,4.5
2493,1,2.5
2489,1,0.4
2493,1,0.8
2443,1,2.4
2443,1,1.4
2441,1,0.5
2441,1,1.1
2443,1,2.3
2443,1,1.9
2441,1,1.2
2441,1,2.9
2441,1,3.4
2447,1,1.4
2447,1,1.8
2447,1,1.6
2438,1,2.3
161,1,2.9
161,1,4
164,1,5
164,1,5.4
161,1,4
164,1,1.1
2446,1,1.5
2446,1,1.4
2442,1,1.7
2446,1,1.3
2432,1,2.3
2434,1,4.5
2436,1,2.5
2438,1,1.8
2434,1,3.8
2433,1,2.1
2438,1,0.2
2438,1,3.7
2476,1,0.7
2476,1,0.4
2476,1,1.3
2475,1,3
2475,1,1.7
2475,1,3.3
2475,1,1.2
2475,1,3.3
2455,1,0.8
2455,1,0.3
2460,1,1.6
2465,1,1.7
2460,1,2.2
2460,1,1.7
2465,1,1.5
2465,1,0.6
2465,1,5.5
2453,1,0.4
2465,1,5.5
2453,1,0.6
2493,1,7.5
2493,1,7
2493,1,5
2493,1,7
2493,1,4.5
2494,1,0.4
2493,1,6
2487,1,1.3
2452,1,0.8
2452,1,3.3
2452,1,1.7
2252,1,2.3
2252,1,1.3
2253,1,3.1
2252,1,3.2
2252,1,1.2
2252,1,1.1
2252,1,0.2
2252,1,0.1
2252,1,0.5
2252,1,0.9
2252,1,0.5
2252,1,1.2
2254,1,2
148,1,3.1
2252,1,2.2
2252,1,0.5
2238,1,1.1
2238,1,2.5
2238,1,0.7
2238,1,1
2238,1,1.8
2238,1,1.5
2238,1,1.6
2238,1,0.1
2238,1,0.1
2238,1,1.2
2238,1,1.6
2238,1,0.1
2238,1,3
2238,1,0.6
2245,1,0.9
2242,1,3.5
2245,1,2.8
2245,1,0.8
2242,1,2.5
2242,1,2.4
2242,1,2.5
2242,1,0.2
2242,1,0.7
2242,1,0.3
2242,1,0.4
2242,1,0.1
2243,1,0.6
2242,1,1.3
2242,1,1.4
2236,1,1.7
2236,1,0.9
2236,1,1.1
2237,1,1.5
2245,1,0
2236,1,0.2
2236,1,0.7
2245,1,4.4
2245,1,2.7
2245,1,2.2
2245,1,0.7
2245,1,0.5
2245,1,1.1
2270,1,1.1
2290,1,2.2
2270,1,2.2
2270,1,0.5
2295,1,2.8
2292,1,1.7
2295,1,2.5
2295,1,2.4
2292,1,0.4
2292,1,0.7
2292,1,2.5
2292,1,2.4
2292,1,3.6
2292,1,2.3
2292,1,3.4
2272,1,0.3
2289,1,1.1
2272,1,2
2259,1,1.4
2259,1,2.2
2259,1,0.3
2259,1,0.7
2260,1,1.5
2260,1,3.8
2259,1,3.6
2270,1,0.3
2270,1,1.3
2260,1,3.3
2270,1,1.1
134,1,0.7
134,1,0.2
152,1,0.3
134,1,0.1
134,1,0
134,1,0.9
134,1,0.3
2257,1,0.9
134,1,1.4
134,1,0.4
148,1,3.9
148,1,3.9
148,1,3.3
150,1,2.6
150,1,0.6
150,1,0.9
151,1,0.7
128,1,1.3
144,1,2
131,1,1.1
152,1,1.2
130,1,1.6
131,1,1.7
2325,1,1.2
2325,1,2.3
2313,1,1.2
2325,1,0.7
2318,1,1.2
2325,1,2
2325,1,0.3
2318,1,0.4
2318,1,1
2318,1,3.5
2318,1,1.3
2314,1,0.4
2314,1,0.3
2314,1,0.4
2314,1,2.8
2303,1,0.3
2304,1,0.5
2306,1,1
2302,1,0.1
2304,1,1
2309,1,2.5
2304,1,1.1
2304,1,1.1
2310,1,0.4
2310,1,0.4
2307,1,0.3
2307,1,1.5
2307,1,0.7
2307,1,1.4
2307,1,1.5
2307,1,0.3
2307,1,0
2307,1,1.3
2307,1,0.6
2307,1,2
2307,1,0
2307,1,0.5
2306,1,0.8
2306,1,0.5
2307,1,0.6
2307,1,0.5
2297,1,0.7
2297,1,1.3
2297,1,1
2293,1,0.1
2293,1,0.7
2293,1,1.3
2293,1,0.6
2307,1,2
2307,1,0.2
2293,1,0.8
2293,1,0.5
2307,1,0.5
2307,1,1
2307,1,0.4
2307,1,0.4
2342,1,1.4
2342,1,5
2342,1,0.1
2345,1,2.4
2345,1,1.1
2345,1,1.6
2341,1,15
2338,1,3.3
2341,1,1.3
2341,1,1
2338,1,2.8
2338,1,2.4
2338,1,2.3
2338,1,0.9
2338,1,3.3
2321,1,1.3
2339,1,1.1
2314,1,2.3
2314,1,2.1
2332,1,0.5
2339,1,2.4
2339,1,0.8
2333,1,2.5
2333,1,5.2
2333,1,2.4
2333,1,4.2
2333,1,3.9
